"id","user","body","created_at"
"1","dd_1203","HEYYYYYYYYY","2021-04-20 22:30:36"
"2","ripwad","Two streams today?","2021-04-20 22:30:36"
"3","cookiegirl89089","heyo","2021-04-20 22:30:36"
"4","dariawasfound","we back","2021-04-20 22:30:36"
"5","fairfitz_","Hi","2021-04-20 22:30:36"
"6","limecentral","ayy welcome back","2021-04-20 22:30:36"
"7","alyyyy2000","tiny pink man is back","2021-04-20 22:30:36"
"8","dinocvlt","oh hes back","2021-04-20 22:30:36"
"9","blaisebelmont","5up you fell","2021-04-20 22:30:36"
"10","heyitsysha","WutFace","2021-04-20 22:30:36"
"11","sheloooo_","HIIII","2021-04-20 22:30:36"
"12","simonaveresova","NATURE","2021-04-20 22:30:36"
"13","honeyshoyo","WB !","2021-04-20 22:30:36"
"14","s31fm4d3","Professional streamer 5upEZ","2021-04-20 22:30:36"
"15","neonfreede","5upSip","2021-04-20 22:30:36"
"16","azzanav","wooow what a coincidence","2021-04-20 22:30:36"
"17","maddi66","we back :)","2021-04-20 22:30:36"
"18","adrianmc","wait what happened","2021-04-20 22:30:38"
"19","astraltqles","Yeyeyey","2021-04-20 22:30:38"
"20","cloudysmiley","scuffed KEKW","2021-04-20 22:30:38"
"21","ichoran","Kappa U new around here?","2021-04-20 22:30:38"
"22","snowballs4u","HI","2021-04-20 22:30:38"
"23","emilyseashell","HEYYYY","2021-04-20 22:30:38"
"24","meliimaria","hi tiny pink man","2021-04-20 22:30:38"
"25","lischiki","hey","2021-04-20 22:30:38"
"26","mimidances18","BAHHAHHAHHAHA","2021-04-20 22:30:38"
"27","deimantee19","hi again???","2021-04-20 22:30:38"
"28","hunnyglass","ayooo","2021-04-20 22:30:38"
"29","eonadlai","hi hi","2021-04-20 22:30:38"
"30","toridreamer","how to spell welcome wait","2021-04-20 22:30:38"
"31","primecall","we back!!","2021-04-20 22:30:38"
"32","silentreadergil","hello and welcome back!????","2021-04-20 22:30:38"
"33","oh__nemo","HI AGAIN","2021-04-20 22:30:38"
"34","sofiaensor","MISSED YOU","2021-04-20 22:30:38"
"35","sophietroberts","welcome back!!","2021-04-20 22:30:39"
"36","juiia_404","LMAOOOOOO","2021-04-20 22:30:39"
"37","cooolwoahman","WHAT HAPPENED","2021-04-20 22:30:39"
"38","deenamaisara99","LOL","2021-04-20 22:30:39"
"39","ruhijshah","WHERE DID 4K PEOPLE GO","2021-04-20 22:30:39"
"40","lovinter","What happend?","2021-04-20 22:30:39"
"41","mali0108","PFF","2021-04-20 22:30:39"
"42","teekayesseye","can anyone hear anything","2021-04-20 22:30:39"
"43","ruthjee","nice seeing you here","2021-04-20 22:30:39"
"44","ramuisme","stream was short like u","2021-04-20 22:30:39"
"45","tracksuitrob","come here often?","2021-04-20 22:30:39"
"46","p_1zza","HAHAHAHAHAAHHA","2021-04-20 22:30:39"
"47","abass927","Welcome Back!","2021-04-20 22:30:39"
"48","ofcinfinite","he fell","2021-04-20 22:30:39"
"49","viyckyie","oh?","2021-04-20 22:30:39"
"50","zzlives","abandoned dogs no more","2021-04-20 22:30:39"
"51","hannah_m255","Hello?....","2021-04-20 22:30:39"
"52","blueregret","LMAOOOO","2021-04-20 22:30:39"
"53","angelcz0_","crunchy audio","2021-04-20 22:30:39"
"54","fangsy_fangs","WELCOME BACK","2021-04-20 22:30:39"
"55","amimimi00","we back","2021-04-20 22:30:41"
"56","jo_tene19","Welcome back","2021-04-20 22:30:41"
"57","stray_shin","LMAO","2021-04-20 22:30:41"
"58","jamilaandrews","welcome back","2021-04-20 22:30:41"
"59","eightypenguin","HELOOO","2021-04-20 22:30:41"
"60","shxtoogi","HIIII","2021-04-20 22:30:41"
"61","katieb1622","WE MISSED YOU","2021-04-20 22:30:41"
"62","swirlberry","peepoHey","2021-04-20 22:30:41"
"63","rhmern","short short","2021-04-20 22:30:41"
"64","squidward_999","hi again bb","2021-04-20 22:30:41"
"65","bododadodo","ahahahah","2021-04-20 22:30:41"
"66","mali0108","LMAO","2021-04-20 22:30:41"
"67","filolijade","heeeeyyyy","2021-04-20 22:30:41"
"68","alialolz","ayyy hes back","2021-04-20 22:30:41"
"69","taylorlee3","He’s back ????","2021-04-20 22:30:42"
"70","dtwitchdavid","Yaaaaay ur back","2021-04-20 22:30:42"
"71","tinfoilhat__","heyy","2021-04-20 22:30:42"
"72","waxwell47","5upMuted","2021-04-20 22:30:42"
"73","katboltt","WB","2021-04-20 22:30:42"
"74","itsarba","HI BFF","2021-04-20 22:30:42"
"75","svolante_","S H O R T I E","2021-04-20 22:30:42"
"76","cleo_0211","HEYYY","2021-04-20 22:30:42"
"77","lllluuiza","HIII","2021-04-20 22:30:42"
"78","satekummerhays","kkatamHeart kkatamHeart kkatamHeart kkatamHeart","2021-04-20 22:30:42"
