"id","user","body","created_at"
"1","ibrahim_38","He is flaggin","2021-04-19 20:38:32"
"2","breakanddish","Egg sandwich yay","2021-04-19 20:38:32"
"3","gkaintatzis","yep clock","2021-04-19 20:38:32"
"4","thethoggmeister","0 seconds ????","2021-04-19 20:38:35"
"5","fractallight2","gg","2021-04-19 20:38:36"
"6","emilista","TIME","2021-04-19 20:38:36"
"7","suspiciousbus","YEP CLOCK","2021-04-19 20:38:36"
"8","thesplcymeatball","flag?","2021-04-19 20:38:37"
"9","aunimfifa","yep clock","2021-04-19 20:38:37"
"10","samontenegro","CLOCK","2021-04-19 20:38:37"
"11","cycl10ps","?? what","2021-04-19 20:38:37"
"12","thomazjeffers","yooo","2021-04-19 20:38:38"
"13","riveratomas","@GothamChess How did you like working in finance? I'm finishing an engineering degree and I'm torn between software development and finance","2021-04-19 20:38:38"
"14","carzel_gamer69","YEP CLOCK YEP CLOCK YEP CLOCK YEP CLOCK","2021-04-19 20:38:38"
"15","speedshot99","Yep Flagged","2021-04-19 20:38:38"
"16","gondamarko","bon appetite","2021-04-19 20:38:38"
"17","taylorswiftfanboy11","GG","2021-04-19 20:38:39"
"18","the_crow_guy","gg","2021-04-19 20:38:40"
"19","murkywaters","gg Kappa","2021-04-19 20:38:40"
"20","the_beast978","Nb4, Nd4, Ne5 and Nd8 are the only drawing moves","2021-04-19 20:38:40"
"21","sammyvicious","it’s like soccer time.","2021-04-19 20:39:22"
"22","cexiled","40 mins?","2021-04-19 20:39:22"
"23","thexuteen","catJAM","2021-04-19 20:39:23"
"24","durabbin","Yeah thats why I play tennis online","2021-04-19 20:39:24"
"25","penguimms","KEKW CLASSICAL","2021-04-19 20:39:24"
"26","bakez_hd","what are you eating","2021-04-19 20:39:25"
"27","tim_oh_thee","catJAM same as it ever was catJAM","2021-04-19 20:39:27"
"28","hockeyfan48","KEKW","2021-04-19 20:39:28"
"29","ryan007007007007","Because 3 all looks confusing while 40-40 looks right","2021-04-19 20:39:29"
"30","gimmicknl","But it says +2!","2021-04-19 20:39:30"
"31","afreejuicer","it's drawable","2021-04-19 20:39:31"
"32","mrmonsieurirrelevant","LMAO","2021-04-19 20:39:32"
"33","ujanninja","is this drawable for MVL","2021-04-19 20:39:33"
"34","gimmicknl","Kappa","2021-04-19 20:39:33"
"35","kenl38","catJAM","2021-04-19 20:39:34"
"36","penguimms","catJAM","2021-04-19 20:39:34"
"37","mortmorte","Does someone know a good chess opening book?","2021-04-19 20:39:36"
"38","godflamineo","it can be a draw though right ?","2021-04-19 20:39:37"
"39","111111sagas111111","why not just give you the time from the start","2021-04-19 20:39:37"
"40","subversus88","FOURTY LOVE","2021-04-19 20:39:38"
"41","rookielyf","Love the music","2021-04-19 20:39:38"
"42","pepetotheboy","@GothamChess how much is the extra time?","2021-04-19 20:39:38"
"43","pheasant_chromatic","the US chess champ has been held in stillwater Oklahoma","2021-04-19 20:39:38"
"44","thefirstlayer","Don’t forget 40-40 becomes j u i c e","2021-04-19 20:39:39"
"45","raffy10000","It's like an hourglass","2021-04-19 20:39:39"
"46","thereddrag10","No one likes the engine","2021-04-19 20:39:39"
"47","richy7rich","who is the actual best classical player?","2021-04-19 20:39:40"
"48","kuiper_wave","maybe look up why tennis scores like that?","2021-04-19 20:39:41"
"49","huzu5253","Are your mom and dad divorce ???","2021-04-19 20:39:41"
"50","ryan007007007007","I.e. deuce obviously","2021-04-19 20:39:41"
"51","jambrokio03","It’s like that in Tennis because it is meant to resemble clock times","2021-04-19 20:39:42"
"52","nkraemer","in classical chess, where do you get the extra queen when you promote","2021-04-19 20:39:43"
"53","swarrior03","fabi is the best for wc","2021-04-19 20:39:43"
"54","ruilar99","people used to play for 15, 30 and 40 cents","2021-04-19 20:39:44"
"55","znick18","It's a win or it's a draw?","2021-04-19 20:39:44"
"56","gm_jonjon","Why do you choose to rock a goatee rather than full beard?","2021-04-19 20:39:45"
